,Symbol
0,ALI_F
1,CL_F
2,GC_F
3,GE_F
4,HG_F
5,HRC_F
6,KC_F
7,LBS_F
8,LH_F
9,NG_F
10,PA_F
11,PL_F
12,SI_F
13,YO_F
14,ZB_F
15,ZC_F
16,ZF_F
17,ZN_F
18,ZO_F
19,ZS_F
20,ZT_F
21,ZW_F
